instance_id,num_agents,num_resources,prop_status,prop_time_in_seconds,prop_num_sharing,prop_product,ef_status,ef_time_in_seconds,ef_num_sharing,ef_product,maxprod1_status,maxprod1_time_in_seconds,maxprod1_num_sharing,maxprod1_product,maxprod0_status,maxprod0_time_in_seconds,maxprod0_num_sharing,maxprod0_product
18,3,5,OK,0.062215,0,260624999.99999985,OK,0.29231399999999996,0,249999999.9999998,OK,2.385061,2,263572053.4999997,,,,
19,3,5,OK,0.056009,0,234374999.99999985,OK,0.34665300000000004,1,199309418.0000001,OK,2.009257,2,243147536.72500017,,,,
23,2,3,OK,0.026024000000000002,0,999999.9999999995,OK,0.036074,0,999999.9999999995,OK,0.020697999999999998,0,999999.9999999995,,,,
24,3,3,OK,0.028234,0,98577023.99999988,OK,0.197741,1,103126774.46489608,OK,0.689405,2,105783399.54524156,,,,
25,2,3,OK,0.027260000000000003,1,249999.99999999985,OK,0.037044,1,249999.99999999985,OK,0.026115,1,249999.99999999985,,,,
26,3,3,OK,0.046672000000000005,2,37835673.24639157,OK,0.068139,2,37837851.02627271,OK,0.067922,2,40019060.71878826,,,,
27,3,3,OK,0.034363,2,40982490.1683891,OK,0.078733,2,41105640.55612357,OK,0.062901,2,41021220.52422577,,,,
28,2,3,OK,0.049078,1,271058.67847800034,OK,0.070881,1,271399.3793279998,OK,0.025463999999999997,1,272156.88943800004,,,,
29,3,3,OK,0.045518,0,86272007.99999987,OK,0.5190140000000001,1,86800217.62099181,OK,1.546478,2,96043225.95141792,,,,
31,3,3,OK,0.041279,0,950000000.0000012,OK,0.073439,0,950000000.0000012,OK,0.037038999999999996,0,950000000.0000012,,,,
51,2,4,OK,0.040389,0,432288.0,OK,0.059036,0,432288.0,OK,0.12091800000000001,1,446732.07208000025,,,,
52,2,3,OK,0.030587,0,318280.0000000003,OK,0.047612,0,318280.0000000003,OK,0.039701,0,318280.0000000003,,,,
53,2,3,OK,0.044552999999999995,1,275905.90124399995,OK,0.075833,1,276541.702716,OK,0.041759,1,277084.1679509997,,,,
61,2,10,OK,0.063956,0,499999.9999999997,OK,0.173232,0,499999.9999999997,OK,0.288889,0,612500.0000000001,,,,
85,3,4,OK,0.08463999999999999,0,83690203.99999984,OK,1.600855,1,91423064.93240386,OK,1.7875740000000002,2,92031481.73382798,,,,
94,2,3,OK,0.021571,1,249999.99999999985,OK,0.028107999999999998,1,249999.99999999985,OK,0.020166999999999997,1,249999.99999999985,,,,
110,2,7,OK,0.05705800000000001,0,387420.0000000004,OK,0.048386,0,387420.0000000004,OK,0.07812100000000001,0,395998.00000000006,,,,
135,3,4,OK,0.16489600000000001,1,61447641.75264001,OK,0.278147,1,61546211.93600005,OK,0.8782049999999999,2,61848043.87267936,,,,
164,3,8,OK,0.065798,1,38914196.53680003,OK,1.9152509999999998,2,38925776.70604799,OK,0.9164180000000001,2,38936539.05261121,,,,
166,2,9,OK,0.043749,0,340095.00000000023,OK,0.065598,0,340095.00000000023,OK,0.091615,1,340248.7851959999,,,,
179,2,4,OK,0.025131,1,321192.9032000001,OK,0.039982,1,321102.5992020001,OK,0.026889999999999997,1,321195.83097800013,,,,
187,2,3,OK,0.020958,1,249999.9724440004,OK,0.026129000000000003,1,249999.9724440004,OK,0.018047,1,249999.97211100013,,,,
202,4,10,OK,0.08906499999999999,0,17480759742.000027,OK,2.65781,0,13158425718.00004,TimeOut,999.000503,3,0.0,,,,
209,2,4,OK,0.024071000000000002,0,515712.00000000006,OK,0.032175999999999996,0,515712.00000000006,OK,0.022212,0,515712.00000000006,,,,
223,2,3,OK,0.019178999999999998,1,276717.3243,OK,0.026355,1,277633.15807500004,OK,0.01936,1,278500.4908,,,,
317,2,3,OK,0.019873,1,294513.6779099998,OK,0.025908999999999998,1,294513.6779099998,OK,0.024361,1,294544.4999999997,,,,
337,2,3,OK,0.037755000000000004,1,249999.99999999985,OK,0.030188999999999997,1,249999.99999999985,OK,0.021273,1,249999.99999999985,,,,
